Layer,id,module,type,priority,scenario,preconditions,steps,data,expected,actual,status,automation,remarks
Backend,TC-BE-SRV-01,Server & Infra,Unit / Health,P1 - Critical,Verify backend health endpoint,Express server initialized,"1. Send GET request to /api/health
2. Inspect response status and payload",None,"HTTP 200 OK, JSON body: {""status"": ""ok""}","HTTP 200 OK, {""status"": ""ok""} in 3.4ms",PASS,Automated (Jest + Supertest),Health check responds within SLA (<10ms)
Backend,TC-BE-SRV-02,Server & Infra,Error Handling,P2 - High,Handle non-existent route gracefully,Express server initialized,"1. Send GET request to /api/does-not-exist
2. Verify 404 response handler",None,HTTP 404 Not Found error,HTTP 404 Not Found with JSON error response,PASS,Automated (Jest + Supertest),Standard 404 middleware verified
Backend,TC-BE-API-01,Auth & Core API,Unit / Health,P1 - Critical,Verify API health endpoint from api suite,API router configured,"1. Send GET /api/health
2. Validate status and payload",None,"HTTP 200 OK with {""status"": ""ok""}",HTTP 200 OK received,PASS,Automated (Jest + Supertest),Verified across test runs
Backend,TC-BE-API-02,Auth & Core API,Validation,P1 - Critical,Reject registration with missing fields,User registration endpoint active,"1. Send POST /api/auth/register with empty body {}
2. Verify 400 Bad Request error",Body: {},HTTP 400 Bad Request with field validation errors,HTTP 400 Bad Request returned,PASS,Automated (Jest + Supertest),"Ensures name, email, and password mandatory"
Backend,TC-BE-API-03,Auth & Core API,Functional / Auth,P1 - Critical,Register new user with valid details,Database / Mock connected; email does not exist,"1. Send POST /api/auth/register with name, valid email, strong password
2. Verify 201 Created and JWT token","Body: { name: 'Milan', email: 'new@example.com', password: 'Secret@123' }",HTTP 201 Created with JWT token in response body,HTTP 201 Created; token property present,PASS,Automated (Jest + Supertest),Passwords hashed with bcrypt (salt rounds 10)
Backend,TC-BE-API-04,Auth & Core API,Functional / Auth,P1 - Critical,Reject login with invalid credentials,User exists in database,"1. Send POST /api/auth/login with wrong password
2. Verify 401 Unauthorized status","Body: { email: 'wrong@example.com', password: 'bad' }","HTTP 401 Unauthorized, message indicating invalid credentials",HTTP 401 Unauthorized with invalid message,PASS,Automated (Jest + Supertest),Prevents credential enumeration
Backend,TC-BE-API-05,Catalog,Functional / Query,P1 - Critical,Fetch public product catalog,Products table populated with catalog items,"1. Send GET /api/catalog
2. Verify status 200 and array of product objects",None,HTTP 200 OK; response body is an Array,HTTP 200 OK; Array of compressor spares returned,PASS,Automated (Jest + Supertest),Public endpoint accessible without token
Backend,TC-BE-API-06,Catalog & RBAC,Functional / RBAC,P2 - High,Admin creates new catalog item,Valid admin token provided in Authorization header,"1. Send POST /api/catalog with Bearer admin-token
2. Send product name, description, price
3. Verify 201 Created","Headers: Authorization: Bearer admin-token
Body: { name: 'New Product', description: 'Test', price: 100 }",HTTP 201 Created; item persisted,HTTP 201 Created successfully,PASS,Automated (Jest + Supertest),Admin authorization verified
Backend,TC-BE-API-07,Catalog & RBAC,Security / RBAC,P1 - Critical,Non-admin blocked from creating catalog item,Standard user token provided in Authorization header,"1. Send POST /api/catalog with Bearer user-token
2. Verify 403 Forbidden status","Headers: Authorization: Bearer user-token
Body: { name: 'New Product', description: 'Test', price: 100 }",HTTP 403 Forbidden; creation blocked,HTTP 403 Forbidden returned,PASS,Automated (Jest + Supertest),Non-admin access restricted
Backend,TC-BE-API-08,Quotations,Functional / RBAC,P2 - High,Admin retrieves customer quotation requests,Admin user authenticated with valid token,"1. Send GET /api/quotations with Bearer admin-token
2. Verify 200 OK with list of RFQs",Headers: Authorization: Bearer admin-token,HTTP 200 OK; array of quotations returned,HTTP 200 OK with quotations array,PASS,Automated (Jest + Supertest),Enables admin sales team review
Backend,TC-BE-API-09,Quotations,Security / RBAC,P1 - Critical,Standard user denied access to all quotations,Standard user token provided,"1. Send GET /api/quotations with Bearer user-token
2. Verify 403 Forbidden",Headers: Authorization: Bearer user-token,HTTP 403 Forbidden,HTTP 403 Forbidden returned,PASS,Automated (Jest + Supertest),Guards client commercial privacy
Backend,TC-BE-CAT-01,Catalog & RBAC,Security / RBAC,P1 - Critical,Admin product insertion in catalog suite,Admin JWT valid,"1. POST /api/catalog with admin token
2. Verify 201 status and timestamp","Body: { name: 'Admin Product', description: 'Test', price: 100 }",HTTP 201 Created,HTTP 201 Created,PASS,Automated (Jest + Supertest),Catalog suite check
Backend,TC-BE-CAT-02,Catalog & RBAC,Security / RBAC,P1 - Critical,User product insertion denied in catalog suite,User JWT valid,"1. POST /api/catalog with user token
2. Verify 403 Forbidden","Body: { name: 'User Product', description: 'Test', price: 100 }",HTTP 403 Forbidden,HTTP 403 Forbidden,PASS,Automated (Jest + Supertest),RBAC role check verified
